,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
277,How is Periodic Classification of Elements different from other concepts in this category?,Chemistry,Periodic Classification of Elements,79.2,0.79,164.0,129.0,2.0,Understand,Easy
278,Analyze the impact of Structure of the Atom on the Indian economy over the last decade.,Chemistry,Structure of the Atom,27.0,0.27,353.0,95.0,13.0,Evaluate,Hard
280,Write any two characteristics of Nationalism in India.,History,Nationalism in India,84.4,0.84,195.0,164.0,3.0,Understand,Easy
282,How does The Age of Industrialisation affect the overall outcome of the process? Explain.,History,The Age of Industrialisation,57.4,0.57,546.0,313.0,8.0,Analyze,Medium
283,Design an experiment to demonstrate the properties of Print Culture and the Modern World.,History,Print Culture and the Modern World,31.7,0.32,321.0,101.0,17.0,Create,Hard
284,A student performs an experiment on Resources and Development. What observations would they record?,Geography,Resources and Development,52.8,0.53,161.0,84.0,8.0,Apply,Medium
285,How does Agriculture affect the overall outcome of the process? Explain.,Geography,Agriculture,53.6,0.54,263.0,140.0,5.0,Analyze,Medium
286,How is Minerals and Energy Resources different from other concepts in this category?,Geography,Minerals and Energy Resources,87.5,0.87,248.0,216.0,4.0,Understand,Easy
287,Mention the main components of Manufacturing Industries.,Geography,Manufacturing Industries,72.5,0.73,579.0,419.0,4.0,Remember,Easy
288,State the law of Lifelines of National Economy.,Geography,Lifelines of National Economy,86.7,0.87,346.0,300.0,3.0,Remember,Easy
289,"In the context of Development, evaluate the statement: 'Prevention is better than cure.'",Economics,Development,27.1,0.27,542.0,147.0,18.0,Evaluate,Hard
290,How is Sectors of the Indian Economy different from other concepts in this category?,Economics,Sectors of the Indian Economy,91.5,0.92,469.0,429.0,2.0,Understand,Easy
291,State the law of Money and Credit.,Economics,Money and Credit,81.6,0.82,385.0,314.0,4.0,Remember,Easy
294,Discuss the challenges faced during the implementation of C++ Programming in a developing country.,Computer Science,C++ Programming,32.3,0.32,155.0,50.0,16.0,Evaluate,Hard
295,Write any two characteristics of SQL Queries.,Computer Science,SQL Queries,85.8,0.86,203.0,174.0,3.0,Understand,Easy
296,What is meant by Python Lists and Tuples? Give one example.,Computer Science,Python Lists and Tuples,85.9,0.86,396.0,340.0,3.0,Remember,Easy
298,What is meant by Boolean Algebra? Give one example.,Computer Science,Boolean Algebra,91.8,0.92,362.0,332.0,4.0,Remember,Easy
300,Define the term HTML/CSS Structure. Mention its SI unit.,Computer Science,HTML/CSS Structure,89.1,0.89,519.0,462.0,2.0,Remember,Easy
302,Mention the main components of Reflection and Refraction.,Physics,Reflection and Refraction,76.9,0.77,519.0,399.0,2.0,Remember,Easy
303,Analyze the impact of Magnetic Effects of Current on the Indian economy over the last decade.,Physics,Magnetic Effects of Current,29.6,0.3,559.0,165.0,19.0,Evaluate,Hard
304,Define the term Human Eye and Colourful World. Mention its SI unit.,Physics,Human Eye and Colourful World,74.2,0.74,369.0,273.0,3.0,Remember,Easy
305,State the law of Motion and Laws of Motion.,Physics,Motion and Laws of Motion,72.7,0.73,320.0,232.0,2.0,Remember,Easy
306,Calculate the value of Work and Energy given the standard parameters.,Physics,Work and Energy,63.2,0.63,330.0,208.0,7.0,Apply,Medium
307,How is Gravitation different from other concepts in this category?,Physics,Gravitation,72.4,0.72,433.0,313.0,3.0,Understand,Easy
308,Design an experiment to demonstrate the properties of Arithmetic Progressions.,Mathematics,Arithmetic Progressions,17.8,0.18,585.0,104.0,11.0,Create,Hard
309,"In the context of Trigonometric Identities, evaluate the statement: 'Prevention is better than cure.'",Mathematics,Trigonometric Identities,17.8,0.18,387.0,68.0,14.0,Evaluate,Hard
312,Explain the process of Probability with the help of a labeled diagram.,Mathematics,Probability,60.8,0.61,417.0,253.0,8.0,Apply,Medium
313,"Differentiate between Linear Equations in Two Variables and its alternative, giving three points of distinction.",Mathematics,Linear Equations in Two Variables,69.6,0.7,528.0,367.0,7.0,Analyze,Medium
314,State the law of Triangles and Circles.,Mathematics,Triangles and Circles,77.3,0.77,184.0,142.0,4.0,Remember,Easy
316,A student performs an experiment on Control and Coordination. What observations would they record?,Biology,Control and Coordination,46.9,0.47,544.0,254.0,9.0,Apply,Medium
317,Define the term Heredity and Evolution. Mention its SI unit.,Biology,Heredity and Evolution,87.4,0.87,352.0,307.0,3.0,Remember,Easy
319,State the law of Cell Structure and Functions.,Biology,Cell Structure and Functions,78.6,0.79,333.0,261.0,4.0,Remember,Easy
320,A student performs an experiment on Tissues. What observations would they record?,Biology,Tissues,46.3,0.46,540.0,249.0,6.0,Apply,Medium
321,What is meant by Diversity in Living Organisms? Give one example.,Biology,Diversity in Living Organisms,91.2,0.91,408.0,372.0,3.0,Remember,Easy
322,Discuss the challenges faced during the implementation of Chemical Reactions and Equations in a developing country.,Chemistry,Chemical Reactions and Equations,40.5,0.41,546.0,221.0,15.0,Evaluate,Hard
323,"Define the term Acids, Bases and Salts. Mention its SI unit.",Chemistry,"Acids, Bases and Salts",89.6,0.9,157.0,140.0,2.0,Remember,Easy
324,Analyze the impact of Metals and Non-metals on the Indian economy over the last decade.,Chemistry,Metals and Non-metals,30.5,0.3,389.0,118.0,10.0,Evaluate,Hard
325,How does Carbon and its Compounds affect the overall outcome of the process? Explain.,Chemistry,Carbon and its Compounds,50.1,0.5,264.0,132.0,5.0,Analyze,Medium
326,A student performs an experiment on Periodic Classification of Elements. What observations would they record?,Chemistry,Periodic Classification of Elements,54.9,0.55,567.0,311.0,8.0,Apply,Medium
328,What is meant by The Rise of Nationalism in Europe? Give one example.,History,The Rise of Nationalism in Europe,74.9,0.75,232.0,173.0,2.0,Remember,Easy
330,Write any two characteristics of The Making of a Global World.,History,The Making of a Global World,86.3,0.86,460.0,397.0,2.0,Understand,Easy
331,Why is The Age of Industrialisation considered essential for the functioning of the system?,History,The Age of Industrialisation,48.8,0.49,509.0,248.0,6.0,Analyze,Medium
332,Explain the process of Print Culture and the Modern World with the help of a labeled diagram.,History,Print Culture and the Modern World,57.2,0.57,579.0,330.0,8.0,Apply,Medium
333,What is meant by Resources and Development? Give one example.,Geography,Resources and Development,80.7,0.81,254.0,205.0,4.0,Remember,Easy
334,"Differentiate between Agriculture and its alternative, giving three points of distinction.",Geography,Agriculture,47.0,0.47,386.0,181.0,8.0,Analyze,Medium
335,What is meant by Minerals and Energy Resources? Give one example.,Geography,Minerals and Energy Resources,80.8,0.81,161.0,130.0,4.0,Remember,Easy
338,Why is Development considered essential for the functioning of the system?,Economics,Development,68.0,0.68,593.0,403.0,8.0,Analyze,Medium
339,A student performs an experiment on Sectors of the Indian Economy. What observations would they record?,Economics,Sectors of the Indian Economy,47.1,0.47,157.0,73.0,7.0,Apply,Medium
340,How does Money and Credit affect the overall outcome of the process? Explain.,Economics,Money and Credit,59.0,0.59,530.0,312.0,7.0,Analyze,Medium
341,State the law of Globalization and the Indian Economy.,Economics,Globalization and the Indian Economy,90.8,0.91,465.0,422.0,3.0,Remember,Easy
342,Explain the process of Consumer Rights with the help of a labeled diagram.,Economics,Consumer Rights,55.5,0.55,523.0,290.0,6.0,Apply,Medium
343,Explain the process of C++ Programming with the help of a labeled diagram.,Computer Science,C++ Programming,47.0,0.47,457.0,214.0,8.0,Apply,Medium
344,Explain the process of SQL Queries with the help of a labeled diagram.,Computer Science,SQL Queries,57.8,0.58,291.0,168.0,5.0,Apply,Medium
345,Discuss the challenges faced during the implementation of Python Lists and Tuples in a developing country.,Computer Science,Python Lists and Tuples,29.6,0.3,281.0,83.0,17.0,Evaluate,Hard
346,"Differentiate between Computer Networks (OSI Model) and its alternative, giving three points of distinction.",Computer Science,Computer Networks (OSI Model),48.4,0.48,169.0,81.0,7.0,Analyze,Medium
347,Write any two characteristics of Boolean Algebra.,Computer Science,Boolean Algebra,84.4,0.84,165.0,139.0,4.0,Understand,Easy
348,Calculate the value of Cyber Safety given the standard parameters.,Computer Science,Cyber Safety,68.8,0.69,540.0,371.0,8.0,Apply,Medium
349,How does HTML/CSS Structure affect the overall outcome of the process? Explain.,Computer Science,HTML/CSS Structure,50.9,0.51,579.0,294.0,9.0,Analyze,Medium
350,Mention the main components of Electric Current and Circuits.,Physics,Electric Current and Circuits,90.2,0.9,307.0,276.0,4.0,Remember,Easy
352,State the law of Magnetic Effects of Current.,Physics,Magnetic Effects of Current,86.9,0.87,295.0,256.0,4.0,Remember,Easy
353,"In the context of Human Eye and Colourful World, evaluate the statement: 'Prevention is better than cure.'",Physics,Human Eye and Colourful World,34.1,0.34,541.0,184.0,14.0,Evaluate,Hard
354,"Differentiate between Motion and Laws of Motion and its alternative, giving three points of distinction.",Physics,Motion and Laws of Motion,50.8,0.51,271.0,137.0,5.0,Analyze,Medium
355,How does Work and Energy affect the overall outcome of the process? Explain.,Physics,Work and Energy,64.3,0.64,293.0,188.0,6.0,Analyze,Medium
356,Explain the process of Gravitation with the help of a labeled diagram.,Physics,Gravitation,58.9,0.59,476.0,280.0,8.0,Apply,Medium
357,Suggest three measures to improve the efficiency of Arithmetic Progressions.,Mathematics,Arithmetic Progressions,29.5,0.3,571.0,168.0,12.0,Create,Hard
359,Define the term Coordinate Geometry. Mention its SI unit.,Mathematics,Coordinate Geometry,83.4,0.83,283.0,235.0,3.0,Remember,Easy
360,Suggest three measures to improve the efficiency of Surface Areas and Volumes.,Mathematics,Surface Areas and Volumes,28.4,0.28,281.0,79.0,14.0,Create,Hard
361,Mention the main components of Probability.,Mathematics,Probability,84.0,0.84,305.0,256.0,4.0,Remember,Easy
363,Design an experiment to demonstrate the properties of Triangles and Circles.,Mathematics,Triangles and Circles,27.6,0.28,341.0,94.0,13.0,Create,Hard
365,"In the context of Control and Coordination, evaluate the statement: 'Prevention is better than cure.'",Biology,Control and Coordination,31.4,0.31,286.0,89.0,13.0,Evaluate,Hard
367,A student performs an experiment on Our Environment. What observations would they record?,Biology,Our Environment,69.4,0.69,276.0,191.0,8.0,Apply,Medium
368,How is Cell Structure and Functions different from other concepts in this category?,Biology,Cell Structure and Functions,86.6,0.87,405.0,350.0,2.0,Understand,Easy
370,State the law of Diversity in Living Organisms.,Biology,Diversity in Living Organisms,73.1,0.73,353.0,258.0,2.0,Remember,Easy
371,How is Chemical Reactions and Equations different from other concepts in this category?,Chemistry,Chemical Reactions and Equations,88.2,0.88,434.0,382.0,3.0,Understand,Easy
374,Design an experiment to demonstrate the properties of Carbon and its Compounds.,Chemistry,Carbon and its Compounds,41.3,0.41,446.0,184.0,14.0,Create,Hard
375,Define the term Periodic Classification of Elements. Mention its SI unit.,Chemistry,Periodic Classification of Elements,89.1,0.89,162.0,144.0,4.0,Remember,Easy
376,Explain the process of Structure of the Atom with the help of a labeled diagram.,Chemistry,Structure of the Atom,68.2,0.68,493.0,336.0,7.0,Apply,Medium
377,"In the context of The Rise of Nationalism in Europe, evaluate the statement: 'Prevention is better than cure.'",History,The Rise of Nationalism in Europe,23.1,0.23,165.0,38.0,15.0,Evaluate,Hard
378,What is meant by Nationalism in India? Give one example.,History,Nationalism in India,75.1,0.75,345.0,259.0,3.0,Remember,Easy
379,Analyze the impact of The Making of a Global World on the Indian economy over the last decade.,History,The Making of a Global World,43.2,0.43,257.0,111.0,14.0,Evaluate,Hard
380,Explain the process of The Age of Industrialisation with the help of a labeled diagram.,History,The Age of Industrialisation,61.3,0.61,488.0,299.0,7.0,Apply,Medium
382,Analyze the impact of Resources and Development on the Indian economy over the last decade.,Geography,Resources and Development,24.4,0.24,259.0,63.0,15.0,Evaluate,Hard
384,Explain the process of Minerals and Energy Resources with the help of a labeled diagram.,Geography,Minerals and Energy Resources,66.3,0.66,297.0,196.0,9.0,Apply,Medium
386,Calculate the value of Lifelines of National Economy given the standard parameters.,Geography,Lifelines of National Economy,66.1,0.66,526.0,347.0,6.0,Apply,Medium
387,What is meant by Development? Give one example.,Economics,Development,88.9,0.89,481.0,427.0,2.0,Remember,Easy
389,Design an experiment to demonstrate the properties of Money and Credit.,Economics,Money and Credit,29.0,0.29,213.0,61.0,19.0,Create,Hard
391,Design an experiment to demonstrate the properties of Consumer Rights.,Economics,Consumer Rights,43.9,0.44,597.0,261.0,11.0,Create,Hard
395,How does Computer Networks (OSI Model) affect the overall outcome of the process? Explain.,Computer Science,Computer Networks (OSI Model),51.7,0.52,588.0,303.0,9.0,Analyze,Medium
396,"In the context of Boolean Algebra, evaluate the statement: 'Prevention is better than cure.'",Computer Science,Boolean Algebra,44.0,0.44,396.0,174.0,11.0,Evaluate,Hard
397,What is meant by Cyber Safety? Give one example.,Computer Science,Cyber Safety,76.2,0.76,461.0,351.0,2.0,Remember,Easy
398,A student performs an experiment on HTML/CSS Structure. What observations would they record?,Computer Science,HTML/CSS Structure,57.3,0.57,202.0,115.0,8.0,Apply,Medium
399,Design an experiment to demonstrate the properties of Electric Current and Circuits.,Physics,Electric Current and Circuits,38.7,0.39,329.0,127.0,19.0,Create,Hard
400,Analyze the impact of Reflection and Refraction on the Indian economy over the last decade.,Physics,Reflection and Refraction,37.0,0.37,251.0,92.0,15.0,Evaluate,Hard
402,How does Human Eye and Colourful World affect the overall outcome of the process? Explain.,Physics,Human Eye and Colourful World,60.4,0.6,175.0,105.0,6.0,Analyze,Medium
403,"In the context of Motion and Laws of Motion, evaluate the statement: 'Prevention is better than cure.'",Physics,Motion and Laws of Motion,15.7,0.16,417.0,65.0,19.0,Evaluate,Hard
406,Define the term Arithmetic Progressions. Mention its SI unit.,Mathematics,Arithmetic Progressions,75.1,0.75,283.0,212.0,2.0,Remember,Easy
410,Define the term Probability. Mention its SI unit.,Mathematics,Probability,80.5,0.81,309.0,248.0,2.0,Remember,Easy
411,"In the context of Linear Equations in Two Variables, evaluate the statement: 'Prevention is better than cure.'",Mathematics,Linear Equations in Two Variables,35.9,0.36,457.0,164.0,10.0,Evaluate,Hard
412,Explain the process of Triangles and Circles with the help of a labeled diagram.,Mathematics,Triangles and Circles,59.1,0.59,441.0,260.0,7.0,Apply,Medium
417,Suggest three measures to improve the efficiency of Cell Structure and Functions.,Biology,Cell Structure and Functions,40.1,0.4,303.0,121.0,13.0,Create,Hard
419,Mention the main components of Diversity in Living Organisms.,Biology,Diversity in Living Organisms,84.1,0.84,226.0,190.0,3.0,Remember,Easy
421,"Discuss the challenges faced during the implementation of Acids, Bases and Salts in a developing country.",Chemistry,"Acids, Bases and Salts",20.1,0.2,412.0,82.0,18.0,Evaluate,Hard
422,Design an experiment to demonstrate the properties of Metals and Non-metals.,Chemistry,Metals and Non-metals,38.8,0.39,494.0,191.0,16.0,Create,Hard
423,Mention the main components of Carbon and its Compounds.,Chemistry,Carbon and its Compounds,86.9,0.87,334.0,290.0,2.0,Remember,Easy
424,Discuss the challenges faced during the implementation of Periodic Classification of Elements in a developing country.,Chemistry,Periodic Classification of Elements,43.8,0.44,525.0,229.0,19.0,Evaluate,Hard
427,Analyze the impact of Nationalism in India on the Indian economy over the last decade.,History,Nationalism in India,27.7,0.28,177.0,49.0,14.0,Evaluate,Hard
428,Critically examine the role of The Making of a Global World in the current socio-political scenario.,History,The Making of a Global World,17.4,0.17,291.0,50.0,15.0,Evaluate,Hard
429,Discuss the challenges faced during the implementation of The Age of Industrialisation in a developing country.,History,The Age of Industrialisation,40.4,0.4,456.0,184.0,19.0,Evaluate,Hard
430,Analyze the impact of Print Culture and the Modern World on the Indian economy over the last decade.,History,Print Culture and the Modern World,30.4,0.3,400.0,121.0,13.0,Evaluate,Hard
433,How does Minerals and Energy Resources affect the overall outcome of the process? Explain.,Geography,Minerals and Energy Resources,47.0,0.47,253.0,118.0,5.0,Analyze,Medium
435,Suggest three measures to improve the efficiency of Lifelines of National Economy.,Geography,Lifelines of National Economy,15.8,0.16,198.0,31.0,19.0,Create,Hard
436,Mention the main components of Development.,Economics,Development,81.6,0.82,392.0,319.0,3.0,Remember,Easy
437,Mention the main components of Sectors of the Indian Economy.,Economics,Sectors of the Indian Economy,88.6,0.89,460.0,407.0,2.0,Remember,Easy
440,State the law of Consumer Rights.,Economics,Consumer Rights,72.4,0.72,512.0,370.0,2.0,Remember,Easy
442,How is SQL Queries different from other concepts in this category?,Computer Science,SQL Queries,90.4,0.9,181.0,163.0,3.0,Understand,Easy
444,Analyze the impact of Computer Networks (OSI Model) on the Indian economy over the last decade.,Computer Science,Computer Networks (OSI Model),18.7,0.19,373.0,69.0,10.0,Evaluate,Hard
445,Why is Boolean Algebra considered essential for the functioning of the system?,Computer Science,Boolean Algebra,45.5,0.45,551.0,250.0,8.0,Analyze,Medium
447,What is meant by HTML/CSS Structure? Give one example.,Computer Science,HTML/CSS Structure,81.6,0.82,537.0,438.0,3.0,Remember,Easy
448,Define the term Electric Current and Circuits. Mention its SI unit.,Physics,Electric Current and Circuits,81.4,0.81,493.0,401.0,4.0,Remember,Easy
449,Suggest three measures to improve the efficiency of Reflection and Refraction.,Physics,Reflection and Refraction,22.4,0.22,241.0,53.0,11.0,Create,Hard
451,Calculate the value of Human Eye and Colourful World given the standard parameters.,Physics,Human Eye and Colourful World,54.5,0.54,180.0,98.0,5.0,Apply,Medium
452,Why is Motion and Laws of Motion considered essential for the functioning of the system?,Physics,Motion and Laws of Motion,46.9,0.47,226.0,106.0,7.0,Analyze,Medium
453,Analyze the impact of Work and Energy on the Indian economy over the last decade.,Physics,Work and Energy,34.5,0.35,257.0,88.0,10.0,Evaluate,Hard
455,"Differentiate between Arithmetic Progressions and its alternative, giving three points of distinction.",Mathematics,Arithmetic Progressions,49.3,0.49,485.0,238.0,9.0,Analyze,Medium
458,How does Surface Areas and Volumes affect the overall outcome of the process? Explain.,Mathematics,Surface Areas and Volumes,56.5,0.56,467.0,263.0,6.0,Analyze,Medium
459,Analyze the impact of Probability on the Indian economy over the last decade.,Mathematics,Probability,34.6,0.35,362.0,125.0,17.0,Evaluate,Hard
460,Design an experiment to demonstrate the properties of Linear Equations in Two Variables.,Mathematics,Linear Equations in Two Variables,19.1,0.19,521.0,99.0,19.0,Create,Hard
461,Define the term Triangles and Circles. Mention its SI unit.,Mathematics,Triangles and Circles,87.7,0.88,288.0,252.0,4.0,Remember,Easy
465,How does Our Environment affect the overall outcome of the process? Explain.,Biology,Our Environment,58.0,0.58,273.0,158.0,7.0,Analyze,Medium
466,"Differentiate between Cell Structure and Functions and its alternative, giving three points of distinction.",Biology,Cell Structure and Functions,63.9,0.64,347.0,221.0,8.0,Analyze,Medium
468,How does Diversity in Living Organisms affect the overall outcome of the process? Explain.,Biology,Diversity in Living Organisms,53.6,0.54,438.0,234.0,9.0,Analyze,Medium
469,A student performs an experiment on Chemical Reactions and Equations. What observations would they record?,Chemistry,Chemical Reactions and Equations,57.0,0.57,342.0,194.0,8.0,Apply,Medium
470,"Why is Acids, Bases and Salts considered essential for the functioning of the system?",Chemistry,"Acids, Bases and Salts",54.3,0.54,469.0,254.0,5.0,Analyze,Medium
471,"In the context of Metals and Non-metals, evaluate the statement: 'Prevention is better than cure.'",Chemistry,Metals and Non-metals,24.9,0.25,558.0,139.0,10.0,Evaluate,Hard
472,Analyze the impact of Carbon and its Compounds on the Indian economy over the last decade.,Chemistry,Carbon and its Compounds,29.3,0.29,155.0,45.0,10.0,Evaluate,Hard
473,"In the context of Periodic Classification of Elements, evaluate the statement: 'Prevention is better than cure.'",Chemistry,Periodic Classification of Elements,27.3,0.27,593.0,162.0,11.0,Evaluate,Hard
475,State the law of The Rise of Nationalism in Europe.,History,The Rise of Nationalism in Europe,75.3,0.75,511.0,384.0,2.0,Remember,Easy
476,Why is Nationalism in India considered essential for the functioning of the system?,History,Nationalism in India,52.5,0.52,157.0,82.0,9.0,Analyze,Medium
478,Mention the main components of The Age of Industrialisation.,History,The Age of Industrialisation,76.3,0.76,591.0,451.0,3.0,Remember,Easy
479,Critically examine the role of Print Culture and the Modern World in the current socio-political scenario.,History,Print Culture and the Modern World,25.6,0.26,264.0,67.0,16.0,Evaluate,Hard
481,Why is Agriculture considered essential for the functioning of the system?,Geography,Agriculture,66.4,0.66,290.0,192.0,5.0,Analyze,Medium
482,Define the term Minerals and Energy Resources. Mention its SI unit.,Geography,Minerals and Energy Resources,90.6,0.91,195.0,176.0,3.0,Remember,Easy
484,How is Lifelines of National Economy different from other concepts in this category?,Geography,Lifelines of National Economy,91.7,0.92,159.0,145.0,2.0,Understand,Easy
485,State the law of Development.,Economics,Development,76.4,0.76,403.0,307.0,4.0,Remember,Easy
489,Calculate the value of Consumer Rights given the standard parameters.,Economics,Consumer Rights,47.6,0.48,480.0,228.0,5.0,Apply,Medium
490,Define the term C++ Programming. Mention its SI unit.,Computer Science,C++ Programming,77.5,0.77,574.0,444.0,2.0,Remember,Easy
491,"Differentiate between SQL Queries and its alternative, giving three points of distinction.",Computer Science,SQL Queries,48.1,0.48,509.0,244.0,7.0,Analyze,Medium
492,Write any two characteristics of Python Lists and Tuples.,Computer Science,Python Lists and Tuples,80.9,0.81,493.0,398.0,3.0,Understand,Easy
495,"In the context of Cyber Safety, evaluate the statement: 'Prevention is better than cure.'",Computer Science,Cyber Safety,19.6,0.2,568.0,111.0,10.0,Evaluate,Hard
496,"Differentiate between HTML/CSS Structure and its alternative, giving three points of distinction.",Computer Science,HTML/CSS Structure,58.7,0.59,217.0,127.0,5.0,Analyze,Medium
497,Analyze the impact of Electric Current and Circuits on the Indian economy over the last decade.,Physics,Electric Current and Circuits,44.1,0.44,308.0,135.0,16.0,Evaluate,Hard
498,What is meant by Reflection and Refraction? Give one example.,Physics,Reflection and Refraction,91.8,0.92,250.0,229.0,4.0,Remember,Easy
499,Write any two characteristics of Magnetic Effects of Current.,Physics,Magnetic Effects of Current,81.2,0.81,158.0,128.0,3.0,Understand,Easy
500,Discuss the challenges faced during the implementation of Human Eye and Colourful World in a developing country.,Physics,Human Eye and Colourful World,35.2,0.35,595.0,209.0,17.0,Evaluate,Hard
502,Write any two characteristics of Work and Energy.,Physics,Work and Energy,85.6,0.86,236.0,201.0,2.0,Understand,Easy
505,Design an experiment to demonstrate the properties of Trigonometric Identities.,Mathematics,Trigonometric Identities,21.2,0.21,500.0,106.0,14.0,Create,Hard
506,How does Coordinate Geometry affect the overall outcome of the process? Explain.,Mathematics,Coordinate Geometry,65.5,0.65,193.0,126.0,8.0,Analyze,Medium
507,Explain the process of Surface Areas and Volumes with the help of a labeled diagram.,Mathematics,Surface Areas and Volumes,57.7,0.58,257.0,148.0,8.0,Apply,Medium
511,What is meant by Life Processes? Give one example.,Biology,Life Processes,76.2,0.76,320.0,243.0,2.0,Remember,Easy
512,Analyze the impact of Control and Coordination on the Indian economy over the last decade.,Biology,Control and Coordination,43.6,0.44,210.0,91.0,18.0,Evaluate,Hard
516,State the law of Tissues.,Biology,Tissues,86.5,0.86,456.0,394.0,2.0,Remember,Easy
521,How is Carbon and its Compounds different from other concepts in this category?,Chemistry,Carbon and its Compounds,71.4,0.71,489.0,349.0,2.0,Understand,Easy
522,Write any two characteristics of Periodic Classification of Elements.,Chemistry,Periodic Classification of Elements,83.6,0.84,191.0,159.0,2.0,Understand,Easy
523,Mention the main components of Structure of the Atom.,Chemistry,Structure of the Atom,76.6,0.77,336.0,257.0,3.0,Remember,Easy
530,A student performs an experiment on Agriculture. What observations would they record?,Geography,Agriculture,50.5,0.5,417.0,210.0,5.0,Apply,Medium
532,How is Manufacturing Industries different from other concepts in this category?,Geography,Manufacturing Industries,86.0,0.86,421.0,361.0,3.0,Understand,Easy
533,Critically examine the role of Lifelines of National Economy in the current socio-political scenario.,Geography,Lifelines of National Economy,35.4,0.35,180.0,63.0,17.0,Evaluate,Hard
534,Explain the process of Development with the help of a labeled diagram.,Economics,Development,63.8,0.64,257.0,163.0,7.0,Apply,Medium
536,Define the term Money and Credit. Mention its SI unit.,Economics,Money and Credit,80.2,0.8,349.0,279.0,4.0,Remember,Easy
537,Explain the process of Globalization and the Indian Economy with the help of a labeled diagram.,Economics,Globalization and the Indian Economy,66.7,0.67,191.0,127.0,8.0,Apply,Medium
539,Analyze the impact of C++ Programming on the Indian economy over the last decade.,Computer Science,C++ Programming,25.4,0.25,599.0,151.0,11.0,Evaluate,Hard
540,Calculate the value of SQL Queries given the standard parameters.,Computer Science,SQL Queries,56.3,0.56,237.0,133.0,6.0,Apply,Medium
541,Design an experiment to demonstrate the properties of Python Lists and Tuples.,Computer Science,Python Lists and Tuples,37.0,0.37,558.0,206.0,12.0,Create,Hard
542,Why is Computer Networks (OSI Model) considered essential for the functioning of the system?,Computer Science,Computer Networks (OSI Model),62.5,0.63,277.0,173.0,8.0,Analyze,Medium
543,A student performs an experiment on Boolean Algebra. What observations would they record?,Computer Science,Boolean Algebra,51.8,0.52,275.0,142.0,7.0,Apply,Medium
544,Why is Cyber Safety considered essential for the functioning of the system?,Computer Science,Cyber Safety,61.9,0.62,225.0,139.0,6.0,Analyze,Medium
545,Mention the main components of HTML/CSS Structure.,Computer Science,HTML/CSS Structure,81.6,0.82,552.0,450.0,2.0,Remember,Easy
546,Critically examine the role of Electric Current and Circuits in the current socio-political scenario.,Physics,Electric Current and Circuits,31.2,0.31,257.0,80.0,16.0,Evaluate,Hard
548,Calculate the value of Magnetic Effects of Current given the standard parameters.,Physics,Magnetic Effects of Current,48.7,0.49,506.0,246.0,6.0,Apply,Medium
551,What is meant by Work and Energy? Give one example.,Physics,Work and Energy,72.9,0.73,169.0,123.0,3.0,Remember,Easy
552,Mention the main components of Gravitation.,Physics,Gravitation,74.1,0.74,166.0,123.0,4.0,Remember,Easy
553,What is meant by Arithmetic Progressions? Give one example.,Mathematics,Arithmetic Progressions,71.3,0.71,550.0,392.0,2.0,Remember,Easy
555,"In the context of Coordinate Geometry, evaluate the statement: 'Prevention is better than cure.'",Mathematics,Coordinate Geometry,34.1,0.34,296.0,101.0,15.0,Evaluate,Hard
557,Write any two characteristics of Probability.,Mathematics,Probability,72.1,0.72,282.0,203.0,4.0,Understand,Easy
558,How is Linear Equations in Two Variables different from other concepts in this category?,Mathematics,Linear Equations in Two Variables,81.1,0.81,555.0,449.0,3.0,Understand,Easy
560,"Differentiate between Life Processes and its alternative, giving three points of distinction.",Biology,Life Processes,60.7,0.61,569.0,345.0,6.0,Analyze,Medium
561,Explain the process of Control and Coordination with the help of a labeled diagram.,Biology,Control and Coordination,62.6,0.63,453.0,283.0,8.0,Apply,Medium
562,What is meant by Heredity and Evolution? Give one example.,Biology,Heredity and Evolution,91.5,0.91,268.0,245.0,2.0,Remember,Easy
563,Why is Our Environment considered essential for the functioning of the system?,Biology,Our Environment,65.6,0.66,335.0,219.0,5.0,Analyze,Medium
568,"Differentiate between Acids, Bases and Salts and its alternative, giving three points of distinction.",Chemistry,"Acids, Bases and Salts",55.5,0.55,343.0,190.0,6.0,Analyze,Medium
569,A student performs an experiment on Metals and Non-metals. What observations would they record?,Chemistry,Metals and Non-metals,52.6,0.53,481.0,252.0,5.0,Apply,Medium
575,Discuss the challenges faced during the implementation of The Making of a Global World in a developing country.,History,The Making of a Global World,39.9,0.4,379.0,151.0,15.0,Evaluate,Hard
578,State the law of Resources and Development.,Geography,Resources and Development,76.3,0.76,496.0,378.0,4.0,Remember,Easy
580,Calculate the value of Minerals and Energy Resources given the standard parameters.,Geography,Minerals and Energy Resources,69.3,0.69,327.0,226.0,8.0,Apply,Medium
581,A student performs an experiment on Manufacturing Industries. What observations would they record?,Geography,Manufacturing Industries,56.3,0.56,391.0,220.0,8.0,Apply,Medium
582,Explain the process of Lifelines of National Economy with the help of a labeled diagram.,Geography,Lifelines of National Economy,60.8,0.61,179.0,108.0,9.0,Apply,Medium
585,Critically examine the role of Money and Credit in the current socio-political scenario.,Economics,Money and Credit,41.5,0.41,316.0,130.0,18.0,Evaluate,Hard
586,How is Globalization and the Indian Economy different from other concepts in this category?,Economics,Globalization and the Indian Economy,76.5,0.77,355.0,271.0,3.0,Understand,Easy
