Vendor,Vendor State,NIC Codes,Certifications,Udyam No,Tender,Tender Category,Tender State,Estimated Value,Overall Score,Status,Confidence
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,Refined Groundnut Oil (V4) (Defence),Food Products,Central Government,N/A,0.0,NOT_ELIGIBLE,50.0
Tiwari Tech Solutions Pvt. Ltd.,Uttar Pradesh,"62012, 62020, 62011, 70210, 70220, 80200","MSME, UDYAM, GEM-SP, ISO-9001",UDYAM-UP-12-0012345,Customized AMC/CMC for Pre-owned Products - AMC of Koha Library Management Software; As per specification; Annual Mai...,Customized AMC/CMC for Pre-owned Products,Karnataka,N/A,0.0,NOT_ELIGIBLE,50.0
Vaibhav Tech Solutions,Maharashtra,"33471, 61011",MSME,N/A,RUBBER MOUNTS,General Procurement,Central Government,50000.0,0.0,NOT_ELIGIBLE,50.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Designing Software (V3),Designing Software (V3)",Information Technology,Central Government,100000.0,0.0,NOT_ELIGIBLE,50.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Others,Manpower Outsourcing Services,Central Government,3000000.0,0.0,NOT_ELIGIBLE,50.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,Digital Multimeter,Laboratory Equipment,Central Government,82500.0,0.0,NOT_ELIGIBLE,50.0
xyz tech pvt ltd,Madhya Pradesh,"62012, 80200, 70220, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"DIA 125mm_ SA105x6000 Lg,DIA 125mm_ SA105x7000 Lg",General Procurement,Central Government,302032500.0,0.0,NOT_ELIGIBLE,50.0
Tyagi,Delhi (NCR),"80100, 81210, 81220","MSME, ISO-9001, ISO-14001, UDYAM, ISO-27001, GEM-SP, GEM-OEM, NSIC",N/A,"Brush Sweeping Hand,SuperSpin Mop Refils,Polish Metal Brass,Duster Cloth,Feather Broom Phool Jhadu,Cloth StockniteMut...",Multi-Item Procurement (BOQ),Central Government,103915000.0,0.0,NOT_ELIGIBLE,50.0
Sharma Tech Solutions Pvt. Ltd.,Haryana,"62011, 62012, 62020, 80200, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,All in One PC (V2),Information Technology,Central Government,2611934.0,0.0,NOT_ELIGIBLE,50.0
Sharma Manufacturer,Haryana,"13000, 14130, 18130","MSME, UDYAM, ISO-14001",N/A,Liquid Nitrogen (In Kg),Chemicals,Central Government,687500000.0,0.0,NOT_ELIGIBLE,50.0
Wanode Digital Solutions Pvt Ltd,Maharashtra,"62011, 62020, 17230","MSME, ISO-9001, DPIIT-SC",UDYAM-MH-26-0123456,Customized AMC/CMC for Pre-owned Products - AMC of 2 Nos of HPE Servers and 01 No of 50TB SAN storage; HPE and HP DL;...,Customized AMC/CMC for Pre-owned Products,Central Government,N/A,0.0,NOT_ELIGIBLE,50.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,EMG NCV EP Machine,Medical Equipment & Supplies,Puducherry,27500.0,0.0,NOT_ELIGIBLE,50.0
Sharma Tech Solutions Pvt. Ltd.,Haryana,"62011, 62012, 62020, 80200, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Scanner (V3),Information Technology,Central Government,27500.0,0.0,NOT_ELIGIBLE,50.0
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,Cheese,Food Products,Central Government,50000.0,0.0,NOT_ELIGIBLE,50.0
Vaibhav Tech Solutions,Maharashtra,"33471, 61011",MSME,N/A,"Leather Cross Belt - Uniforms,Leather Cross Belt - Uniforms,Leather Cross Belt - Uniforms",Apparel & Clothing,Central Government,57048485.0,0.0,NOT_ELIGIBLE,50.0
Sharma Manufacturer,Haryana,"13000, 14130, 18130","MSME, UDYAM, ISO-14001",N/A,Liqcheck Urine Chemet L1/Bio Rad Lipocheck Urine Control– L2,General Procurement,Central Government,50000.0,0.0,NOT_ELIGIBLE,50.0
Wanode Digital Solutions Pvt Ltd,Maharashtra,"62011, 62020, 17230","MSME, ISO-9001, DPIIT-SC",UDYAM-MH-26-0123456,HDD for EHM and CCTV Servers for IPMS for GRSE Yard 3024 P17A,General Procurement,Central Government,110000.0,0.0,NOT_ELIGIBLE,50.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,ICU Ventilators (V2),Medical Equipment & Supplies,Delhi,34033649.0,0.0,NOT_ELIGIBLE,50.0
Vaibhav Tech Solutions,Maharashtra,"33471, 61011",MSME,N/A,"COALESCER CARTIDGE (TYPE-M),SEPRATOR CARTRIDGE (TYPE-M)",General Procurement,Central Government,12250000.0,0.0,NOT_ELIGIBLE,50.0
Vaibhav Tech Solutions Pvt. Ltd.,Maharashtra,"62011, 62020, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Bottled Water Dispenser (V3) ISI Marked to IS 17681,Bottled Water Dispenser (V3) ISI,Central Government,40200.0,0.0,NOT_ELIGIBLE,50.0
Sharma Enterprises,Delhi (NCR),"52231, 52243, 33200, 3312, 33129","MSME, UDYAM, GEM-SP",UDYAM-DL-02-0019489,0Z3280989 - REAR SEAL (DOUBLE LIP),General Procurement,Central Government,8057500.0,0.0,NOT_ELIGIBLE,50.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,Hyoscine Butyl Bromide Injection,Pharmaceuticals,Delhi,150000.0,0.0,NOT_ELIGIBLE,50.0
GemEdge,Delhi (NCR),"10000, 11000","MSME, UDYAM, ISO-9001, ISO-14001, GEM-SP, GEM-OEM, FSSAI",N/A,"Goods Transport Services - Per MT - Food Grains, Adhoc DO Batala to Jatwal; Open Body Taurus; 16 FT Truck",Goods Transport Services Per Food,Punjab,1000000.0,0.0,NOT_ELIGIBLE,50.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,"Inj Meloxicam and paracetamol vial of 100ml,Inj Dexamethasone vial of 30ml,Inj B complex with liver extract vial of 3...",Multi-Item Procurement (BOQ),Central Government,1606500000.0,0.0,NOT_ELIGIBLE,50.0
xyz tech pvt ltd,Madhya Pradesh,"62012, 80200, 70220, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"Welded Mesh Panels of size 8 feet x 8 feet for security fence,Clamp for fixing the Panels for security fence,Mush Roo...",Multi-Item Procurement (BOQ),Central Government,7000000.0,0.0,NOT_ELIGIBLE,50.0
xyz tech pvt ltd,Madhya Pradesh,"62012, 80200, 70220, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Monthly Basis Cab & Taxi Hiring Services - MUV; 2000 km x 320 hours; Outstation,Monthly Basis Cab Taxi Hiring,Central Government,200000.0,0.0,NOT_ELIGIBLE,50.0
Wanode Digital Solutions Pvt Ltd,Maharashtra,"62011, 62020, 17230","MSME, ISO-9001, DPIIT-SC",UDYAM-MH-26-0123456,Computer Paper (V3) Conforming to IS 12766 (In Packet),Paper & Stationery,Delhi,110000.0,0.0,NOT_ELIGIBLE,50.0
xyz tech pvt ltd,Madhya Pradesh,"62012, 80200, 70220, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Survey or Market Research Services/ Program evaluation or assessment survey services/Feedback Survey - Disaster Manag...,Survey Market Research Services/ Program,Delhi,N/A,0.0,NOT_ELIGIBLE,40.0
Sharma Tech Solutions Pvt. Ltd.,Haryana,"62011, 62012, 62020, 80200, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,Interactive Panels with CPU,Information Technology,Central Government,224849.0,0.0,NOT_ELIGIBLE,40.0
Sharma Enterprises,Delhi (NCR),"52231, 52243, 33200, 3312, 33129","MSME, UDYAM, GEM-SP",UDYAM-DL-02-0019489,"ITEM 10 20512601002021 CUTTING TORCH, L= 1200 MM, ALBA,ITEM 20 20512601002022 CUTTING NOZZLE, HSI-300, ALBA,ITEM 30 2...",General Procurement,Central Government,1155000.0,0.0,NOT_ELIGIBLE,40.0
GP Tech Solutions,Maharashtra,"33471, 62071",MSME,N/A,Customized AMC/CMC for Pre-owned Products - Undefined; SIEMENS; Annual Maintenance Contract (AMC); WHENEVER REQUIRED; No,Customized AMC/CMC for Pre-owned Products,Central Government,N/A,0.0,NOT_ELIGIBLE,40.0
Bansal Pvt. Ltd.,Uttar Pradesh,"62011, 62020, 10000, 11000, 62012, 80100, 80200","ISO-14001, MSME, UDYAM",N/A,Customized AMC/CMC for Pre-owned Products - AMC of Simcenter 3D Motion & Amesim for 03 years; Siemens Industry Softwa...,Customized AMC/CMC for Pre-owned Products,Central Government,N/A,0.0,NOT_ELIGIBLE,40.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,Portable Ultrasound Machine (V2),Medical Equipment & Supplies,Delhi,1250000.0,0.0,NOT_ELIGIBLE,40.0
Wanode Digital Solutions Pvt Ltd,Maharashtra,"62011, 62020, 17230","MSME, ISO-9001, DPIIT-SC",UDYAM-MH-26-0123456,Relocation of Server Room,General Procurement,Central Government,84242.0,0.0,NOT_ELIGIBLE,40.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,RAPID EXCHANGE CUTTING BALLOON (MICROSURGICAL DILATATION DEVICE) ASSORTED SIZES,General Procurement,Central Government,1829340.0,0.0,NOT_ELIGIBLE,40.0
MN Enterprises,Delhi,"32501, 32500","MSME, UDYAM",N/A,Holmium Laser,Medical Equipment & Supplies,Delhi,2500000.0,0.0,NOT_ELIGIBLE,40.0
GemEdge,Delhi (NCR),"10000, 11000","MSME, UDYAM, ISO-9001, ISO-14001, GEM-SP, GEM-OEM, FSSAI",N/A,Cooking or table salt,Food Products,Chhattisgarh,50350000.0,0.0,NOT_ELIGIBLE,40.0
Sharma Manufacturer,Haryana,"13000, 14130, 18130","MSME, UDYAM, ISO-14001",N/A,"Manpower Outsourcing Services - Minimum wage - Skilled; ITI; Others,Manpower Outsourcing Services - Minimum wage - Se...",Manpower Outsourcing Services,Central Government,5000000.0,0.0,NOT_ELIGIBLE,40.0
Sharma Enterprises,Delhi (NCR),"52231, 52243, 33200, 3312, 33129","MSME, UDYAM, GEM-SP",UDYAM-DL-02-0019489,Liqcheck Urine Chemet L1/Bio Rad Lipocheck Urine Control– L2,General Procurement,Central Government,50000.0,0.0,NOT_ELIGIBLE,40.0
GemEdge,Delhi (NCR),"10000, 11000","MSME, UDYAM, ISO-9001, ISO-14001, GEM-SP, GEM-OEM, FSSAI",N/A,Catering service (Duration Based) - Veg; Breakfast Lunch Snacks/High Tea; Regular Packet,Catering service (Duration Based) Veg;,Central Government,1012290.0,0.0,NOT_ELIGIBLE,40.0
Sharma Enterprises,Delhi (NCR),"52231, 52243, 33200, 3312, 33129","MSME, UDYAM, GEM-SP",UDYAM-DL-02-0019489,Replacing Acrylic Sheet on Gallantry Award bds,General Procurement,Central Government,440000.0,0.0,NOT_ELIGIBLE,40.0
xyz tech pvt ltd,Madhya Pradesh,"62012, 80200, 70220, 70210","MSME, UDYAM, ISO-9001, GEM-SP",N/A,"ITEM 10 20512601002021 CUTTING TORCH, L= 1200 MM, ALBA,ITEM 20 20512601002022 CUTTING NOZZLE, HSI-300, ALBA,ITEM 30 2...",General Procurement,Central Government,1155000.0,0.0,NOT_ELIGIBLE,40.0
